userID,subscribers,videoviews,channeltype,grade,MonthlyEarnings,YearlyEarnings
T-Series,90194329,65092058996,Music,A++,€635.6K - €10.2M,€7.6M - €122M
SET India,43974122,30601562478,Entertainment,A++,€318.3K - €5.1M,€3.8M - €61.1M
Ryan ToysReview,18664546,28167288987,Entertainment,A+,€140.2K - €2.2M,€1.7M - €26.9M
netd müzik,13295102,28026880244,Music,A++,€123.5K - €2M,€1.5M - €23.7M
Canal KondZilla,47785398,23658901687,Music,A+,€120.4K - €1.9M,€1.4M - €23.1M
Cocomelon - Nursery Rhymes,40551419,22962398422,Education,A++,€567.6K - €9.1M,€6.8M - €109M
Movieclips,23912506,21548229627,Film,A+,€173.4K - €2.8M,€2.1M - €33.3M
PewDiePie,90210848,20772365682,Entertainment,A,€66.9K - €1.1M,€802.3K - €12.8M
El Reino Infantil,20272228,19539301311,Music,A+,€127.7K - €2M,€1.5M - €24.5M
JustinBieberVEVO,33770169,18512334420,Music,A,€21.4K - €342.7K,€257K - €4.1M
Zee TV,25451192,18159686947,Entertainment,A++,€245.2K - €3.9M,€2.9M - €47.1M
KatyPerryVEVO,26319021,17127297666,Music,A,€35.8K - €572.8K,€429.6K - €6.9M
ChuChu TV Nursery Rhymes & Kids…,22624029,16876807897,Education,A,€52.7K - €843K,€632.2K - €10.1M
TaylorSwiftVEVO,27679085,16330049371,Music,A,€26K - €416K,€312K - €5M
Ed Sheeran,37683352,16255758481,Music,A,€50.4K - €807.2K,€605.4K - €9.7M
shakiraVEVO,19412733,15695906119,Music,A,€33.2K - €531.1K,€398.3K - €6.4M
Zee Music Company,33090848,15546938399,Music,A+,€142.5K - €2.3M,€1.7M - €27.4M
TheEllenShow,31338665,15227530790,Entertainment,A,€56.5K - €904.7K,€678.5K - €10.9M
GMM GRAMMY OFFICIAL,15146618,14938355873,Music,A,€50K - €800.4K,€600.3K - €9.6M
BuzzFeedVideo,18609118,14931199045,People,A,€29.3K - €468.8K,€351.6K - €5.6M
WORLDSTARHIPHOP,20094259,13972441230,Music,A,€87.7K - €1.4M,€1.1M - €16.8M
RihannaVEVO,26296627,13769077694,Music,A,€23.9K - €381.7K,€286.3K - €4.6M
[????] ToyPudding TV,22745819,13595988869,Entertainment,A,€54.1K - €865K,€648.7K - €10.4M
5-Minute Crafts,52039165,12853732711,Howto,A+,€124.5K - €2M,€1.5M - €23.9M
EminemVEVO,26338163,12803106901,Music,A,€39.7K - €634.9K,€476.2K - €7.6M
PopularMMOs,16367966,12691886414,Games,A,€23.2K - €371.9K,€278.9K - €4.5M
1theK (????),15776179,12676846395,Music,A,€77.9K - €1.2M,€935.3K - €15M
Maroon5VEVO,15525250,12399957847,Music,A,€57.9K - €926.2K,€694.7K - €11.1M
EnriqueIglesiasVEVO,13678085,11944885789,Music,A,€23.7K - €379.2K,€284.4K - €4.6M
Baby Big Mouth,10677217,11396962817,Entertainment,A,€26.5K - €423.7K,€317.8K - €5.1M
jbalvinVEVO,13910095,11390320927,Music,A,€31.1K - €498K,€373.5K - €6M
ArianaGrandeVevo,18897200,11322822518,Music,A,€85.7K - €1.4M,€1M - €16.5M
Galinha Pintadinha,15946720,11136515492,Film,A,€57.8K - €925.6K,€694.2K - €11.1M
David Guetta,20031301,11099656270,Music,A,€35.9K - €574.7K,€431K - €6.9M
MalumaVEVO,14933802,10945347314,Music,A,€35.2K - €563.8K,€422.8K - €6.8M
CookieSwirlC,11269378,10896443831,Entertainment,A,€49.3K - €789.3K,€592K - €9.5M
The Tonight Show Starring Jimmy…,20323868,10883936623,Comedy,A,€36.6K - €586.1K,€439.6K - €7M
Badabun,37292948,10836102246,Entertainment,A+,€164.9K - €2.6M,€2M - €31.7M
jacksepticeye,21734897,10783296802,Games,A,€24.9K - €398.5K,€298.9K - €4.8M
Speed Records,21662675,10746125458,Music,A+,€106.4K - €1.7M,€1.3M - €20.4M
VanossGaming,24323495,10656216668,Games,A,€25.3K - €404.9K,€303.7K - €4.9M
LuisFonsiVEVO,18382658,10510276244,Music,A,€45.4K - €726.5K,€544.9K - €8.7M
CalvinHarrisVEVO,12659287,10484334924,Music,A,€35.7K - €571.8K,€428.9K - €6.9M
GR6 EXPLODE,22448166,10459994915,Music,A+,€100.3K - €1.6M,€1.2M - €19.3M
Bruno Mars,24296338,10426428760,Music,A,€27.8K - €445.1K,€333.8K - €5.3M
FGTeeV,10585709,10325959397,Games,A,€73.1K - €1.2M,€877.5K - €14M
one31,14617276,10269637865,News,A+,€103.6K - €1.7M,€1.2M - €19.9M
CKN Toys,11789573,10238529566,Entertainment,A,€85K - €1.4M,€1M - €16.3M
Ultra Music,17550409,10203295363,Music,A,€39K - €624.7K,€468.5K - €7.5M
VEGETTA777,26160012,10173166025,Games,A,€26.3K - €421.3K,€316K - €5.1M
???? ???? ????? |…,11613765,10070454598,Music,A,€79.8K - €1.3M,€957.4K - €15.3M
BeyoncéVEVO,13600886,9435564611,Music,A,€21.6K - €346K,€259.5K - €4.2M
Sony Music India,24026890,9396840796,Music,A,€64.5K - €1M,€774.3K - €12.4M
LEGO,7296598,9018121506,Entertainment,A,€26.6K - €426.2K,€319.6K - €5.1M
Trap Nation,25617837,8927735808,Music,A,€39.3K - €628.6K,€471.5K - €7.5M
SonyMusicIndiaVEVO,19905287,8770486131,Music,A+,€91.9K - €1.5M,€1.1M - €17.7M
IGN,11773561,8768337240,Games,A,€19K - €304K,€228K - €3.6M
Coldplay,14069185,8742936888,Music,A,€26.4K - €423K,€317.2K - €5.1M
GRAMMY GOLD OFFICIAL,9662633,8723950969,Music,A,€66.5K - €1.1M,€798.1K - €12.8M
OneDirectionVEVO,23172454,8636687095,Music,A-,€12.2K - €194.4K,€145.8K - €2.3M
Wiz Khalifa,17758541,8613983011,Music,A,€18.6K - €298.1K,€223.6K - €3.6M
Atlantic Records,9315553,8606169883,Music,A,€31.8K - €508.7K,€381.5K - €6.1M
ChainsmokersVEVO,12230955,8369816932,Music,A,€30.4K - €486.1K,€364.6K - €5.8M
Smosh,24168806,8253579897,Comedy,A,€17.7K - €282.6K,€212K - €3.4M
AdeleVEVO,16064917,8007732868,Music,A,€18.7K - €299.9K,€224.9K - €3.6M
Like Nastya Vlog,20260198,7912134752,People,A++,€244.4K - €3.9M,€2.9M - €46.9M
ChrisBrownVEVO,12594266,7851432573,Music,A,€19.8K - €316.1K,€237.1K - €3.8M
rezendeevil,22756174,7836859636,Entertainment,A,€27.8K - €444.6K,€333.5K - €5.3M
Pinkfong! Kids' Songs & Stories,16508092,7821768922,Education,A,€74.5K - €1.2M,€893.9K - €14.3M
Turma da Mônica,10352767,7767832256,Film,A,€31.8K - €508.8K,€381.6K - €6.1M
DisneyMusicVEVO,12020991,7715627755,Music,A,€29.4K - €471K,€353.2K - €5.7M
PitbullVEVO,10041885,7708820681,Music,A-,€11.8K - €188.2K,€141.2K - €2.3M
RomeoSantosVEVO,9128539,7674389173,Music,A,€22.5K - €360.4K,€270.3K - €4.3M
BillionSurpriseToys - Nursery…,22438752,7634457490,Education,A,€69.7K - €1.1M,€836.4K - €13.4M
T-Series Apna Punjab,15435070,7592067313,Music,A+,€85.9K - €1.4M,€1M - €16.5M
SiaVEVO,10420764,7508859092,Music,A,€24.7K - €394.8K,€296.1K - €4.7M
TheWeekndVEVO,11221952,7483201040,Music,A,€24K - €383.8K,€287.9K - €4.6M
Dude Perfect,40202277,7453264532,Sports,A,€46.5K - €743.3K,€557.5K - €8.9M
Jimmy Kimmel Live,13928957,7342879069,Entertainment,A+,€59.4K - €951.2K,€713.4K - €11.4M
??????,3900208,7302606178,Film,A,€23.5K - €376.1K,€282.1K - €4.5M
Britain's Got Talent,11963008,7163769327,Entertainment,A,€15.2K - €242.8K,€182.1K - €2.9M
officialpsy,12688042,7162519132,Music,B+,€9.5K - €151.7K,€113.8K - €1.8M
Tips Official,17202428,7083476857,Music,A+,€85.6K - €1.4M,€1M - €16.4M
Daddy Yankee,20111083,7077962964,Music,A+,€91.8K - €1.5M,€1.1M - €17.6M
Sandaroo Kids [DisneyCarToys],6247439,7051529575,Entertainment,B+,€0 - €0,€0 - €0
SelenaGomezVEVO,15472807,7029167647,Music,A-,€14.2K - €227.6K,€170.7K - €2.7M
stampylonghead,9034712,6953824807,Games,B+,€5.5K - €88.3K,€66.2K - €1.1M
avex,4608695,6933784660,Music,A,€26.3K - €420K,€315K - €5M
Toy Freaks,8547801,6933735324,Entertainment,D-,€63.6K - €1M,€762.9K - €12.2M
Linkin Park,13733988,6895889144,Music,A,€25.3K - €404.4K,€303.3K - €4.9M
Fernanfloo,32393658,6867760534,Games,A,€17.4K - €278.7K,€209K - €3.3M
? Kids Diana Show,21887636,6783279009,Entertainment,A+,€131.5K - €2.1M,€1.6M - €25.3M
LadyGagaVEVO,9363430,6766939514,Music,A,€73.1K - €1.2M,€877.2K - €14M
T-Series Bhakti Sagar,17245661,6757736729,Music,A,€80.7K - €1.3M,€969K - €15.5M
Inside Edition,5748635,6751659314,News,A,€54.6K - €873.4K,€655K - €10.5M
Webs & Tiaras - Toy Monster…,7203358,6727576995,Entertainment,A,€55.5K - €888.6K,€666.5K - €10.7M
Mister Max,12035339,6681276966,Entertainment,A,€34.4K - €550.4K,€412.8K - €6.6M
AuthenticGames,16711960,6661227552,Games,A,€18.3K - €292.9K,€219.7K - €3.5M
ImagineDragonsVEVO,10541195,6626682774,Music,A,€43.2K - €690.9K,€518.2K - €8.3M
Shemaroo,14880123,6593000190,Entertainment,A,€31.7K - €506.7K,€380K - €6.1M
Miss Katy,12950496,6548966849,People,A,€40.6K - €649.5K,€487.1K - €7.8M
Rajshri,12372807,6475172193,Entertainment,A,€66K - €1.1M,€791.4K - €12.7M
La Granja de Zenón,12502970,6457630562,Music,A,€63.5K - €1M,€762K - €12.2M
